capital,number_of_employees,customer_acquisition_cost,customer_acquisition_spend,jobs_per_acquired_customer,per_employee_monthly_cost,employee_min_jobs_per_month,employee_max_jobs_per_month,new_customers,job_price,job_backlog,founder_stress,total_monthly_costs,monthly_costs,monthly_balance,revenue,completed_jobs,month,founder_salaries,business_cost_min,business_cost_max,new_jobs
225824,1,8500.0,10000,1.01,5050.0,2,4,1.0,7500,0.0,0,31676,"{'customer_acquisition_spend': 10000, 'employee_cost': 5000, 'founder_salaries': 10000, 'business_cost': 6676}",-24176,7500,1,Jan 21,10000,5000,15000,1.0
199798.0,1,7225.0,10000,1.0201,5100.5,2,4,1.1764705882352942,7500,0.18823529411764706,0,33526.0,"{'customer_acquisition_spend': 10000, 'employee_cost': 5050.0, 'founder_salaries': 10000, 'business_cost': 8476}",-26026.0,7500,1,Feb 21,10000,5000,15000,1.188235294117647
174522.5,1,6141.25,10000,1.030301,5151.505,2,4,1.3840830449826989,7500,0.6001384083044983,0,32775.5,"{'customer_acquisition_spend': 10000, 'employee_cost': 5100.5, 'founder_salaries': 10000, 'business_cost': 7675}",-25275.5,7500,1,Mar 21,10000,5000,15000,1.4119031141868512
157436.995,1,5220.0625,10000,1.04060401,5203.02005,2,4,1.6283329940972928,7500,0.27781152045593327,0,32085.505,"{'customer_acquisition_spend': 10000, 'employee_cost': 5151.505, 'founder_salaries': 10000, 'business_cost': 6934}",-17085.505,15000,2,Apr 21,10000,5000,15000,1.6776731121514348
137371.97495,1,4437.053124999999,10000,1.0510100501,5255.0502505,2,4,1.91568587540858,7500,0.2712819243064617,0,35065.02005,"{'customer_acquisition_spend': 10000, 'employee_cost': 5203.02005, 'founder_salaries': 10000, 'business_cost': 9862}",-20065.02005,15000,2,May 21,10000,5000,15000,1.9934704038505286
112431.9246995,1,3771.4951562499996,10000,1.061520150601,5307.600753005,2,4,2.2537480887159766,7500,0.6399938159406195,0,39940.050250500004,"{'customer_acquisition_spend': 10000, 'employee_cost': 5255.0502505, 'founder_salaries': 10000, 'business_cost': 14685}",-24940.050250500004,15000,2,Jun 21,10000,5000,15000,2.368711891634158
100250.323946495,1,3205.7708828124996,10000,1.0721353521070098,5360.676760535051,2,4,2.651468339665855,7500,0.45458088717650114,0,34681.600753005,"{'customer_acquisition_spend': 10000, 'employee_cost': 5307.600753005, 'founder_salaries': 10000, 'business_cost': 9374}",-12181.600753004997,22500,3,Jul 21,10000,5000,15000,2.8145870712358816
90948.64718595996,1,2724.9052503906246,10000,1.08285670562808,5414.283528140401,2,4,3.119374517253947,7500,0.7989725835861954,0,31801.67676053505,"{'customer_acquisition_spend': 10000, 'employee_cost': 5360.676760535051, 'founder_salaries': 10000, 'business_cost': 6441}",-9301.67676053505,22500,3,Aug 21,10000,5000,15000,3.3443916964096942
88001.36365781956,1,2316.169462832031,10000,1.0936852726843609,5468.426363421805,2,4,3.6698523732399377,7500,0.7728968346141851,0,32947.2835281404,"{'customer_acquisition_spend': 10000, 'employee_cost': 5414.283528140401, 'founder_salaries': 10000, 'business_cost': 7533}",-2947.283528140397,30000,4,Sep 21,10000,5000,15000,3.97392425102799
82146.93729439775,1,1968.7440434072264,10000,1.1046221254112045,5523.110627056023,2,4,4.317473380282279,7500,1.4948538858356786,0,35854.42636342181,"{'customer_acquisition_spend': 10000, 'employee_cost': 5468.426363421805, 'founder_salaries': 10000, 'business_cost': 10386}",-5854.426363421808,30000,4,Oct 21,10000,5000,15000,4.7219570512214935
71810.82666734172,2,1673.4324368961425,10000,1.1156683466653166,5578.341733326583,2,4,5.079380447390917,7500,3.1056499114047478,0,40336.11062705603,"{'customer_acquisition_spend': 10000, 'employee_cost': 5523.110627056023, 'founder_salaries': 10000, 'business_cost': 14813}",-10336.110627056027,30000,4,Nov 21,10000,5000,15000,5.610796025569069
89525.14320068856,2,1422.417571361721,10000,1.1268250301319698,5634.125150659849,2,4,5.975741702812843,7500,1.7725957770809355,0,42285.683466653165,"{'customer_acquisition_spend': 10000, 'employee_cost': 11156.683466653167, 'founder_salaries': 10000, 'business_cost': 11129}",17714.316533346835,60000,8,Dec 21,10000,5000,15000,6.666945865676188
103859.89289936886,2,1209.054935657463,10000,1.1380932804332895,5690.466402166448,2,4,7.030284356250404,7500,1.6944961586491125,0,45665.2503013197,"{'customer_acquisition_spend': 10000, 'employee_cost': 11268.250301319698, 'founder_salaries': 10000, 'business_cost': 14397}",14334.749698680302,60000,8,Jan 22,10000,5000,15000,7.921900381568178
123233.96009503596,3,1027.6966953088433,10000,1.1494742132376223,5747.371066188112,2,4,8.270922772059299,7500,3.107577788512476,0,40625.93280433289,"{'customer_acquisition_spend': 10000, 'employee_cost': 11380.932804332895, 'founder_salaries': 10000, 'business_cost': 9245}",19374.067195667107,60000,8,Feb 22,10000,5000,15000,9.413081629863363
166923.84689647163,4,873.5421910125168,10000,1.1609689553699987,5804.844776849994,2,4,9.730497378893293,7500,2.2925336075265896,0,46310.11319856434,"{'customer_acquisition_spend': 10000, 'employee_cost': 17242.113198564337, 'founder_salaries': 10000, 'business_cost': 9068}",43689.88680143566,90000,12,Mar 22,10000,5000,15000,11.184955819014114
226481.46778907167,4,742.5108623606393,10000,1.1725786449236986,5862.893224618494,2,4,11.447643975168582,7500,0.582892874825717,0,52942.379107399975,"{'customer_acquisition_spend': 10000, 'employee_cost': 23219.379107399975, 'founder_salaries': 10000, 'business_cost': 9723}",59557.620892600025,112500,15,Apr 22,10000,5000,15000,13.290359267299127
